city,hotel_name,hotel_url,hotel_GPS,hotel_score,hotel_voters,hotel_description,feels_like,humidity,wind_speed,city_id,main_weather,main_weather_scores,final_score,lon,lat
Aigues Mortes,La Maison de Lyna,https://www.booking.com/hotel/fr/la-maison-de-lyna.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b4b9699b2e7e0477&srepoch=1688828471&from=searchresults#hotelTmpl,"43.56601750,4.19235320","9,1",137 expériences vécues,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Maison de Lyna ! Connectez-vous pour économiser.
 Situé à Aigues-Mortes, à moins de 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, l'établissement La Maison de Lyna propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon.

Tous les logements disposent d'une salle de bains privative avec douche, de la climatisation, d'une télévision à écran plat et d'un réfrigérateur.

Vous séjournerez à 28 km du Zénith Sud de Montpellier et à 29 km du centre commercial Odysseum. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km. 




Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.





En voir plus",26.37425,67.625,2.66575,1.0,clear sky,5.0,616.0,4.1912837,43.5658225
Saintes Maries de la mer,Les Rizières,https://www.booking.com/hotel/fr/les-rizieres.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6fb1699b3fb600d7&srepoch=1688828471&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.47103999,4.41058695","8,2",797 expériences vécues,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Rizières ! Connectez-vous pour économiser.
 Installé près d'un étang, l'hôtel Les Rizières est situé à 2,8 km de Saintes-Maries-de-la-Mer et à 2,4 km du parc ornithologique de Pont-de-Gau avec ses flamants roses. Toutes les chambres sont aménagées au rez-de-chaussée, autour d'un patio arboré.

Les hébergements sont pourvus de la climatisation, d'une télévision par satellite et d'un minibar. De plus, vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble de l'établissement.

La piscine extérieure chauffée ouverte en saison est entourée d'une terrasse meublée et bien exposée.

Le parc national de Camargue vous attend à moins de 10 km de l'hôtel Les Rizières et la mer se trouve à seulement 2,8 km. 




Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.





En voir plus",25.21725,74.825,2.83075,29.0,clear sky,5.0,644.0,4.4287172,43.4522771
Saintes Maries de la mer,Thalacap Camargue,https://www.booking.com/hotel/fr/thalacap-camargue.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6fb1699b3fb600d7&srepoch=1688828471&from=searchresults#hotelTmpl,"43.45349134,4.43545103","7,7",972 expériences vécues,"Le Thalacap Camargue est situé en face de la plage des Saintes-Maries-de-la-Mer, à 5 minutes de marche du centre-ville. Vous pourrez profiter gratuitement d'une piscine extérieure d'eau de mer ouverte en saison ainsi que d’une piscine intérieure, d’un sauna et d’un hammam ouverts tout au long de l'année.

Toutes les chambres sont climatisées et disposent d’une télévision à écran plat ainsi que d’une connexion Wi-Fi gratuite.

Le restaurant sert un cuisine de style méditerranéen. Lorsque le temps le permet, vous pourrez prendre vos repas sur la terrasse offrant une vue panoramique sur la mer.

En plus des autres installations de détente, vous bénéficierez d’un accès direct à un centre de thalassothérapie proposant différents de soins médicaux et de beauté moyennant des frais supplémentaires.

Vous rejoindrez la ville d’Arles à 37 km. Un parking privé est disponible sur place pour 10 EUR par nuit. 





Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,3 pour un séjour à deux.





En voir plus",25.21725,74.825,2.83075,29.0,clear sky,5.0,644.0,4.4287172,43.4522771
Saintes Maries de la mer,L'auberge Camarguaise,https://www.booking.com/hotel/fr/lauberge-camarguaise.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6fb1699b3fb600d7&srepoch=1688828471&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.47184235,4.41156596","8,6",377 expériences vécues,"Dotée d'une piscine extérieure ouverte en saison et d'une terrasse bien exposée, L'auberge Camarguaise est située aux Saintes-Maries-de-la-Mer. Rénové en mars 2016, il met gratuitement à votre disposition un parking privé et une connexion Wi-Fi dans l'ensemble de ses locaux.

Chaque chambre comprend un lit double, une terrasse privée, une télévision à écran plat et une salle de bains privative pourvue d'une baignoire.

L'établissement possède un salon commun, un bar et assure un service de location de vélos.

La région est prisée des amateurs d'équitation et de vélo.

L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 50 km. 




Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.





En voir plus",25.21725,74.825,2.83075,29.0,clear sky,5.0,644.0,4.4287172,43.4522771
Biarritz,Apartment Les Hauts de Biarritz-4 by Interhome,https://www.booking.com/hotel/fr/apartment-les-hauts-de-biarritz-4.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=600&sr_order=popularity&srpvid=a58469a12abe00d3&srepoch=1688828484&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.47017600,-1.56181800","6,9",9 expériences vécues,"Situé à 1,6 km de la plage de Marbella, L'Apartment Les Hauts de Biarritz-4 est situé à Biarritz, à 1,8 km de la plage de Milady et à 2 km de la gare de Biarritz-La Négresse. Situé à 1,1 km de la plage de la Côte des Basques, il dispose d'un jardin et d'un parking privé gratuit.

Offrant une vue sur le jardin, cet appartement comprend un balcon, une chambre, un salon, une télévision, une cuisine équipée avec un réfrigérateur et un four ainsi qu'une salle de bains pourvue d'une douche.

Vous séjournerez à 16 km de la gare de Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. L'aéroport de Biarritz, le plus proche, est implanté à 3 km. 







Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.


En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
Biarritz,"T4 classé 3 étoiles, centre, au calme, parkings",https://www.booking.com/hotel/fr/t4-classe-3-etoiles-centre-au-calme-parkings.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=574&sr_order=popularity&srpvid=6cda69a1799501cd&srepoch=1688828484&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.47686000,-1.54865420",,,"Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la montagne, le T4 classé 3 étoiles, centre, au calme, parkings est un hébergement situé à Biarritz, à seulement 1,7 km de la Grande Plage et à 1,8 km de la plage Miramar. Situé à 1,5 km de la plage des Pêcheurs, il dispose d'une terrasse et d'un parking privé gratuit.

Cet appartement comprend un balcon, 3 chambres, un salon ainsi qu'une cuisine bien équipée avec un réfrigérateur et un four. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 2,6 km de la gare de Biarritz-La Négresse et à 16 km de celle de Saint-Jean-de-Luz. L'aéroport de Biarritz, le plus proche, est implanté à 2 km. 







Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.


En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
Biarritz,Apartment Haitze Egoa by Interhome,https://www.booking.com/hotel/fr/aeffcfabbadcc-apartment-haitze-egoa.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=575&sr_order=popularity&srpvid=6cda69a1799501cd&srepoch=1688828484&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.49211300,-1.54930400",,,"Situé à Biarritz, à 200 mètres de la plage VVF et à 600 mètres de la plage Miramar, l'Apartment Haitze Egoa by Interhome propose un hébergement avec une connexion Wi-Fi gratuite et une télévision. Cet appartement se trouve à moins de 1 km de la Grande Plage et à 4,8 km de la gare de Biarritz-La Négresse.

Cet appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur ainsi qu'une salle de bains pourvue d'une douche et d'un sèche-cheveux.

Vous séjournerez à 18 km de la gare de Saint-Jean-de-Luz et à 19 km de l'église Saint-Jean-Baptiste. L'aéroport de Biarritz, le plus proche, est implanté à 5 km. 




C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.





En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
Biarritz,"Appartement Biarritz, 4 pièces, 6 personnes - FR-1-239-945",https://www.booking.com/hotel/fr/appartement-biarritz-4-pieces-6-personnes-fr-1-239-945.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=573&sr_order=popularity&srpvid=6cda69a1799501cd&srepoch=1688828484&from=searchresults#hotelTmpl,"43.48714100,-1.54952100",,,"Situé à 600 mètres de la plage Miramar, à moins de 1 km de la Grande Plage et à 10 minutes à pied de la plage VVF, l'Appartement Biarritz, 4 pièces, 6 personnes - FR-1-239-945 propose un hébergement à Biarritz. Vous bénéficierez d'un accès à un balcon et d'un parking privé gratuit.

Cet appartement comprend 3 chambres, une télévision, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un four et d'un micro-ondes.

Vous séjournerez à 4,5 km de la gare de Biarritz-La Négresse et à 18 km de celle de Saint-Jean-de-Luz. L'aéroport de Biarritz, le plus proche, est implanté à 4 km. 







En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
Biarritz,"Bakara, élégant t2 au cœur des Halles de Biarritz",https://www.booking.com/hotel/fr/bakara-elegant-t2-au-coeur-des-halles-de-biarritz-biarritz.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=550&sr_order=popularity&srpvid=7b5469a13861008b&srepoch=1688828485&from=searchresults#hotelTmpl,"43.48006500,-1.56369000","8,5",4 expériences vécues,"Situé dans le centre de Biarritz, à 500 mètres de la plage de la Côte des Basques et de la plage du Port Vieux, le Bakara, élégant t2 au cœur des Halles de Biarritz propose une connexion Wi-Fi gratuite. Cet appartement se trouve à 600 mètres de la plage des Pêcheurs et à 2,1 km de celle de Marbella.

Cet appartement 1 chambre dispose d'un salon avec une télévision à écran plat, d'une cuisine entièrement équipée et d'une salle de bains.

Vous séjournerez à 3,2 km de la gare de Biarritz-La Négresse et à 17 km de celle de Saint-Jean-de-Luz. L'aéroport de Biarritz, le plus proche, est implanté à 3 km. 




C'est le quartier préféré des voyageurs visitant Biarritz, selon les commentaires clients indépendants.





En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
Biarritz,Le Doolie's Biarritz - Palawan,https://www.booking.com/hotel/fr/le-doolies-biarritz-palawan-private-room-garden-lounge.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-07&checkout=2023-07-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=548&sr_order=popularity&srpvid=7b5469a13861008b&srepoch=1688828485&from=searchresults#hotelTmpl,"43.48148180,-1.54184100","6,2",6 expériences vécues,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Doolie's Biarritz - Palawan ! Connectez-vous pour économiser.
 Situé à Biarritz, à moins de 1,6 km de la plage Miramar et à 1,7 km de la Grande Plage, Le Doolie's Biarritz - Palawan Studio - Aircond - Garden Lounge propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation, un jardin et une terrasse. Cet appartement se trouve à 2,5 km de la plage VVF et à 2,6 km de celle de la Côte des Basques.

Cet appartement dispose d'une télévision. La cuisine est équipée d'un réfrigérateur, d'un four, d'un lave-vaisselle, d'une machine à café et d'une bouilloire.

Le personnel de la réception ouverte 24h/24 parle français, anglais et espagnol.

Vous séjournerez à 3,1 km de la gare de Biarritz-La Négresse et à 16 km de celle de Saint-Jean-de-Luz. L'aéroport de Biarritz, le plus proche, est implanté à 3 km. 







Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.


En voir plus",21.368,79.95,2.579,9.0,clear sky,5.0,636.0,-1.5592776,43.4832523
