,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,city_id
0,Mont Saint Michel,48.6359541,-1.511459954959514,1688839200,light rain,25.07,66,2.52,24
1,Mont Saint Michel,48.6359541,-1.511459954959514,1688850000,overcast clouds,20.07,86,2.12,24
2,Mont Saint Michel,48.6359541,-1.511459954959514,1688860800,overcast clouds,16.72,91,0.89,24
3,Mont Saint Michel,48.6359541,-1.511459954959514,1688871600,overcast clouds,16.21,90,0.62,24
4,Mont Saint Michel,48.6359541,-1.511459954959514,1688882400,overcast clouds,16.85,89,1.4,24
5,Mont Saint Michel,48.6359541,-1.511459954959514,1688893200,light rain,17.49,85,2.61,24
6,Mont Saint Michel,48.6359541,-1.511459954959514,1688904000,light rain,19.51,70,2.81,24
7,Mont Saint Michel,48.6359541,-1.511459954959514,1688914800,overcast clouds,23.14,54,2.81,24
8,Mont Saint Michel,48.6359541,-1.511459954959514,1688925600,overcast clouds,22.62,55,2.87,24
9,Mont Saint Michel,48.6359541,-1.511459954959514,1688936400,scattered clouds,16.03,83,2.91,24
10,Mont Saint Michel,48.6359541,-1.511459954959514,1688947200,scattered clouds,14.04,87,1.52,24
11,Mont Saint Michel,48.6359541,-1.511459954959514,1688958000,clear sky,13.31,91,2.17,24
12,Mont Saint Michel,48.6359541,-1.511459954959514,1688968800,clear sky,15.49,88,2.78,24
13,Mont Saint Michel,48.6359541,-1.511459954959514,1688979600,few clouds,20.98,62,3.84,24
14,Mont Saint Michel,48.6359541,-1.511459954959514,1688990400,few clouds,25.15,46,4.27,24
15,Mont Saint Michel,48.6359541,-1.511459954959514,1689001200,broken clouds,26.42,42,6.02,24
16,Mont Saint Michel,48.6359541,-1.511459954959514,1689012000,scattered clouds,24.26,49,5.5,24
17,Mont Saint Michel,48.6359541,-1.511459954959514,1689022800,clear sky,18.67,69,4.51,24
18,Mont Saint Michel,48.6359541,-1.511459954959514,1689033600,clear sky,15.88,92,4.05,24
19,Mont Saint Michel,48.6359541,-1.511459954959514,1689044400,clear sky,15.05,95,4.58,24
20,Mont Saint Michel,48.6359541,-1.511459954959514,1689055200,few clouds,17.81,91,5.24,24
21,Mont Saint Michel,48.6359541,-1.511459954959514,1689066000,overcast clouds,22.73,64,8.02,24
22,Mont Saint Michel,48.6359541,-1.511459954959514,1689076800,light rain,21.77,75,6.07,24
23,Mont Saint Michel,48.6359541,-1.511459954959514,1689087600,light rain,23.77,48,7.04,24
24,Mont Saint Michel,48.6359541,-1.511459954959514,1689098400,overcast clouds,19.73,62,4.6,24
25,Mont Saint Michel,48.6359541,-1.511459954959514,1689109200,overcast clouds,17.36,74,5.56,24
26,Mont Saint Michel,48.6359541,-1.511459954959514,1689120000,broken clouds,14.29,87,5.5,24
27,Mont Saint Michel,48.6359541,-1.511459954959514,1689130800,scattered clouds,13.81,92,5.21,24
28,Mont Saint Michel,48.6359541,-1.511459954959514,1689141600,scattered clouds,15.29,85,5.21,24
29,Mont Saint Michel,48.6359541,-1.511459954959514,1689152400,broken clouds,18.44,69,5.89,24
30,Mont Saint Michel,48.6359541,-1.511459954959514,1689163200,broken clouds,18.97,64,5.99,24
31,Mont Saint Michel,48.6359541,-1.511459954959514,1689174000,broken clouds,19.44,53,5.95,24
32,Mont Saint Michel,48.6359541,-1.511459954959514,1689184800,broken clouds,17.41,67,4.87,24
33,Mont Saint Michel,48.6359541,-1.511459954959514,1689195600,overcast clouds,14.13,87,3.23,24
34,Mont Saint Michel,48.6359541,-1.511459954959514,1689206400,overcast clouds,14.61,86,3.45,24
35,Mont Saint Michel,48.6359541,-1.511459954959514,1689217200,overcast clouds,12.81,92,3.4,24
36,Mont Saint Michel,48.6359541,-1.511459954959514,1689228000,overcast clouds,14.16,87,3.21,24
37,Mont Saint Michel,48.6359541,-1.511459954959514,1689238800,clear sky,18.59,62,3.59,24
38,Mont Saint Michel,48.6359541,-1.511459954959514,1689249600,scattered clouds,20.82,52,4.16,24
39,Mont Saint Michel,48.6359541,-1.511459954959514,1689260400,scattered clouds,21.05,53,4.61,24
40,St Malo,48.649518,-2.0260409,1688839200,broken clouds,20.21,78,3.24,30
41,St Malo,48.649518,-2.0260409,1688850000,overcast clouds,18.16,85,1.5,30
42,St Malo,48.649518,-2.0260409,1688860800,overcast clouds,17.07,85,1.04,30
43,St Malo,48.649518,-2.0260409,1688871600,broken clouds,16.08,87,1.11,30
44,St Malo,48.649518,-2.0260409,1688882400,broken clouds,17.02,80,1.78,30
45,St Malo,48.649518,-2.0260409,1688893200,light rain,17.18,81,3.16,30
46,St Malo,48.649518,-2.0260409,1688904000,overcast clouds,20.28,67,1.68,30
47,St Malo,48.649518,-2.0260409,1688914800,overcast clouds,21.17,61,0.89,30
48,St Malo,48.649518,-2.0260409,1688925600,overcast clouds,20.69,62,3.44,30
49,St Malo,48.649518,-2.0260409,1688936400,scattered clouds,16.27,80,2.3,30
50,St Malo,48.649518,-2.0260409,1688947200,few clouds,14.9,86,3.36,30
51,St Malo,48.649518,-2.0260409,1688958000,clear sky,14.73,89,3.56,30
52,St Malo,48.649518,-2.0260409,1688968800,few clouds,15.76,89,4.34,30
53,St Malo,48.649518,-2.0260409,1688979600,few clouds,20.23,67,4.1,30
54,St Malo,48.649518,-2.0260409,1688990400,few clouds,23.25,55,1.74,30
55,St Malo,48.649518,-2.0260409,1689001200,broken clouds,24.13,52,2.78,30
56,St Malo,48.649518,-2.0260409,1689012000,broken clouds,23.03,55,6.66,30
57,St Malo,48.649518,-2.0260409,1689022800,clear sky,18.4,75,5.28,30
58,St Malo,48.649518,-2.0260409,1689033600,clear sky,16.03,93,5.36,30
59,St Malo,48.649518,-2.0260409,1689044400,clear sky,16.92,93,6.69,30
60,St Malo,48.649518,-2.0260409,1689055200,scattered clouds,18.99,85,7.79,30
61,St Malo,48.649518,-2.0260409,1689066000,overcast clouds,21.95,66,8.85,30
