city,hotel_name,hotel_url,hotel_GPS,hotel_score,hotel_voters,hotel_description,feels_like,humidity,wind_speed,city_id,main_weather,main_weather_scores,final_score,lon,lat
Bayonne,Kutxa Belza au coeur de Bayonne,https://www.booking.com/hotel/fr/kutxa-belza-au-coeur-de-bayonne-bayonne1.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=882775701_357612524_2_0_0&highlighted_blocks=882775701_357612524_2_0_0&matching_block_id=882775701_357612524_2_0_0&sr_pri_blocks=882775701_357612524_2_0_0__54979&from=searchresults#hotelTmpl,"43.49222348,-1.47332368","7,6",9 expériences vécues,"Le Kutxa Belza au coeur de Bayonne est situé à Bayonne, à 22 km de la gare de Saint-Jean-de-Luz, à 23 km de l'église Saint-Jean-Baptiste et à 36 km de la gare d'Hendaye. Vous séjournerez à 12 km de la gare de Biarritz-La Négresse et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.

Cet appartement comprend une chambre, une cuisine équipée d'un réfrigérateur et d'un four, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 36 km de FICOBA et à 48 km de Pasaiako portua. L'aéroport de Biarritz, le plus proche, est implanté à 5 km. 





L'établissement Kutxa Belza au coeur de Bayonne accueille des clients Booking.com depuis le 19 juil. 2022.




En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,KATALINA LAU T3 au coeur de Saint Esprit,https://www.booking.com/hotel/fr/katalina-lau-t3-au-coeur-de-saint-esprit.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=810753801_343240772_2_0_0&highlighted_blocks=810753801_343240772_2_0_0&matching_block_id=810753801_343240772_2_0_0&sr_pri_blocks=810753801_343240772_2_0_0__59895&from=searchresults#hotelTmpl,"43.49549431,-1.46897977","4,3",8 expériences vécues,"Le KATALINA LAU T3 au coeur de Saint Esprit est situé à Bayonne, à 15 km de la gare de Biarritz-La Négresse, à 25 km de la gare de Saint-Jean-de-Luz et à 26 km de l'église Saint-Jean-Baptiste.

Cet appartement comprend 2 chambres, une cuisine équipée d'un réfrigérateur et d'un micro-ondes, ainsi qu'une salle de bains pourvue d'une baignoire, d'articles de toilette gratuits et d'un lave-linge. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 39 km de la gare d'Hendaye et de FICOBA. L'aéroport de Biarritz, le plus proche, est implanté à 5 km. 





L'établissement KATALINA LAU T3 au coeur de Saint Esprit accueille des clients Booking.com depuis le 10 janv. 2022.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,"beau t3 en duplex, calme et paisible",https://www.booking.com/hotel/fr/beau-t3-en-duplex-calme-et-paisible.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=853139601_352738284_2_0_0&highlighted_blocks=853139601_352738284_2_0_0&matching_block_id=853139601_352738284_2_0_0&sr_pri_blocks=853139601_352738284_2_0_0__69300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.49583355,-1.43456731","8,7",9 expériences vécues,"Offrant une vue sur le jardin, le beau t3 en duplex, calme et paisible propose un hébergement avec une terrasse et un balcon, à environ 15 km de la gare de Biarritz-La Négresse. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.

Cet appartement comprend 2 chambres, une cuisine avec un réfrigérateur et un lave-vaisselle, une télévision à écran plat, un coin salon et 2 salles de bains pourvues d'une douche. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 25 km de la gare de Saint-Jean-de-Luz et à 26 km de l'église Saint-Jean-Baptiste. L'aéroport de Biarritz, le plus proche, est implanté à 11 km. 





L'établissement beau t3 en duplex, calme et paisible accueille des clients Booking.com depuis le 16 mai 2022.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Péniche DJEBELLE,https://www.booking.com/hotel/fr/peniche-djebelle.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=499554101_168894673_2_1_0&highlighted_blocks=499554101_168894673_2_1_0&matching_block_id=499554101_168894673_2_1_0&sr_pri_blocks=499554101_168894673_2_1_0__108120&from=searchresults#hotelTmpl,"43.49633500,-1.47374900","9,5",227 expériences vécues,"Dotée d'un service de prêt de vélos, d'un salon commun, d'une terrasse et d'une connexion Wi-Fi gratuite, la Péniche DJEBELLE est située à Bayonne, à 16 km de la gare de Biarritz-La Négresse et à 26 km de la gare de Saint-Jean-de-Luz. Cet établissement non-fumeurs se trouve à 26 km de l'église Saint-Jean-Baptiste.

Toutes les chambres de cette maison d'hôtes comprennent un balcon. Toutes les chambres du Péniche DJEBELLE comprennent une salle de bains privative.

Un petit-déjeuner continental est servi sur place.

Vous pourrez pratiquer diverses activités à Bayonne et dans ses environs, telles que la randonnée, le ski et la pêche.

La maison d'hôtes se trouve à 40 km de la gare d'Hendaye et de FICOBA. L'aéroport de Biarritz, le plus proche, est implanté à 7 km. 






L'établissement Péniche DJEBELLE accueille des clients Booking.com depuis le 6 mai 2019.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,hotelF1 Bayonne,https://www.booking.com/hotel/fr/hotelf1-bayonne.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=65774805_376292876_2_2_0&highlighted_blocks=65774805_376292876_2_2_0&matching_block_id=65774805_376292876_2_2_0&sr_pri_blocks=65774805_376292876_2_2_0__39997&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.48962331,-1.45107529","5,4",864 expériences vécues,"L'hotelF1 Bayonne propose des hébergements à 7 minutes en voiture du centre-ville de Bayonne et à 10 km de la plage.

Toutes les chambres de cet hôtel sont équipées de la climatisation et d'une télévision à écran plat. Vous disposerez d'une salle de bains privative ou d'un accès à une salle de bains commune.

La sortie 6 de l'autoroute A63 se trouve à côté de l'établissement, tandis que Biarritz est à 11 km. La frontière espagnole est à 35 km. Un parking privé gratuit sous vidéosurveillance est accessible sur place. 





L'établissement hotelF1 Bayonne accueille des clients Booking.com depuis le 31 mai 2018.





En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Hôtel Le Bayonne,https://www.booking.com/hotel/fr/le-bayonne-ha-tel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=38666904_213577931_0_42_0&highlighted_blocks=38666904_213577931_0_42_0&matching_block_id=38666904_213577931_0_42_0&sr_pri_blocks=38666904_213577931_0_42_0__122720&from=searchresults#hotelTmpl,"43.48502620,-1.47537053","8,3",519 expériences vécues,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Le Bayonne ! Connectez-vous pour économiser.
 Situé dans le centre-ville de Bayonne, en Aquitaine, l’Hôtel Le Bayonne vous propose une piscine extérieure ouverte en saison Vous pourrez utiliser le hammam.

Les chambres disposent d’une connexion Internet gratuite par fibre optique et d’une télévision par satellite à écran plat. Chaque hébergement comprend la climatisation, un bureau et un téléphone.

Le restaurant de l'Hôtel Le Bayonne sert une cuisine traditionnelle et le bar propose des boissons. Un petit-déjeuner est servi chaque matin dans une salle prévue à cet effet ou dans le confort de votre chambre.

La gare de Bayonne se trouve à 3 km et un parking privé est accessible moyennant des frais supplémentaires. L’hôtel se situe à 5,5 km de l’aéroport de Biarritz-Pays Basque et à 7,6 km de Biarritz. 






L'établissement Hôtel Le Bayonne accueille des clients Booking.com depuis le 16 avr. 2012.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Villa AJNA Bayonne,https://www.booking.com/hotel/fr/chambre-chinoise.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=779724905_336345200_2_1_0&highlighted_blocks=779724905_336345200_2_1_0&matching_block_id=779724905_336345200_2_1_0&sr_pri_blocks=779724905_336345200_2_1_0__70518&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.48392100,-1.49821200","8,8",75 expériences vécues,"Située à Bayonne, la Villa AJNA Bayonne propose une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse. Vous pourrez profiter d'un sauna.

Un réfrigérateur, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.

Cette chambre d'hôtes sert un petit-déjeuner continental.

Vous pourrez faire du vélo dans les environs.

La Villa AJNA Bayonne se trouve à 6,1 km de la gare de Biarritz-La Négresse et à 21 km de celle de Saint-Jean-de-Luz. Moyennant des frais supplémentaires, l'établissement assure un service de navette aéroport, le plus proche étant celui de Biarritz, situé à 3 km. 






L'établissement Villa AJNA Bayonne accueille des clients Booking.com depuis le 1 oct. 2021.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Hotel LES GENETS - Restaurant ATEA,https://www.booking.com/hotel/fr/restaurant-les-genets.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=5392306_88559769_0_2_0&highlighted_blocks=5392306_88559769_0_2_0&matching_block_id=5392306_88559769_0_2_0&sr_pri_blocks=5392306_88559769_0_2_0__51340&from=searchresults#hotelTmpl,"43.46494896,-1.49584383","7,8",2 001 expériences vécues,"Situé à 1,5 km de l'autoroute A63, en dehors de Bayonne, l'Hotel LES GENETS - Restaurant ATEA dispose de chambres insonorisées et d'un restaurant servant des spécialités locales.

Les chambres de l'Hotel LES GENETS - Restaurant ATEA sont équipées de la climatisation, d'une télévision à écran LCD et d'une connexion Wi-Fi gratuite. Elles sont décorées dans des tons neutres et avec du mobilier en bois élégant.

Un petit-déjeuner buffet est servi chaque matin dans la salle à manger de l'établissement.

Un parking gratuit est à votre disposition sur place. Le centre d'Anglet se trouve à 3 km. Les plages de Biarritz sont accessibles en seulement 15 minutes en voiture. 






L'établissement Hotel LES GENETS - Restaurant ATEA accueille des clients Booking.com depuis le 23 déc. 2006.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Boutique Hôtel Un Appart en Ville,https://www.booking.com/hotel/fr/un-appart-en-ville-bayonne1.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=454352905_326775201_2_2_0&highlighted_blocks=454352905_326775201_2_2_0&matching_block_id=454352905_326775201_2_2_0&sr_pri_blocks=454352905_326775201_2_2_0__102000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"43.49092250,-1.47744120","8,9",374 expériences vécues,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Boutique Hôtel Un Appart en Ville ! Connectez-vous pour économiser.
 Situé à Bayonne, à 12 km de la gare de Biarritz-La Négresse, le Boutique Hôtel Un Appart en Ville propose des hébergements climatisés avec connexion Wi-Fi gratuite et accès à une terrasse.

Tous les logements comprennent une cuisine entièrement équipée avec une table à manger, une télévision par satellite à écran plat ainsi qu'une salle de bains privative pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux. Un réfrigérateur, un lave-vaisselle, un micro-ondes, une machine à café et une bouilloire sont également disponibles.

Un petit-déjeuner continental est servi chaque matin.

Un service de location de vélos est assuré sur place, tandis que la région est prisée des amateurs de randonnée.

Vous séjournerez à 22 km de la gare de Saint-Jean-de-Luz et de l'église Saint-Jean-Baptiste. L'aéroport de Biarritz, le plus proche, est implanté à 5 km. 






L'établissement Boutique Hôtel Un Appart en Ville accueille des clients Booking.com depuis le 15 mars 2019.



En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
Bayonne,Premiere Classe Bayonne,https://www.booking.com/hotel/fr/premiere-classe-bayonne.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-10&checkout=2023-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=52dc864a301a0591&srepoch=1688929559&all_sr_blocks=5455902_94105901_3_2_0&highlighted_blocks=5455902_94105901_3_2_0&matching_block_id=5455902_94105901_3_2_0&sr_pri_blocks=5455902_94105901_3_2_0__41370&from=searchresults#hotelTmpl,"43.49048959,-1.45203531","5,6",2 322 expériences vécues,"Situé à 5 minutes du centre-ville ainsi qu'à seulement 10 minutes de la plage, le Premiere Classe Bayonne est facilement accessible depuis les autoroutes A63 et A64 (sortie 6).

Conçues dans un style moderne, les chambres confortables comprennent toutes la climatisation, une pièce à vivre fonctionnelle, une connexion Wi-Fi gratuite ainsi qu'une salle de bains privative avec une douche.

L'Hotel Premiere Classe Bayonne possède un parking privé gratuit. À proximité, vous pourrez découvrir Biarritz, Bayonne et Anglet, ou profiter des côtes basque et landaise. Par ailleurs, le magasin Ikea de Bayonne est accessible à 2 km. 





L'établissement Premiere Classe Bayonne accueille des clients Booking.com depuis le 17 mai 2007.





En voir plus",21.218,77.925,2.4935,7.0,clear sky,5.0,624.0,-1.4736657,43.4945144
